id,title,image-url,categories,tags
0d0qJ,"Kort sagt, 8. desember",,[meninger],[debatt]
0d170,En ekspert – en sexarbeider som har medvirket i porno – formulerte seg meget klart om «barnepornografi» | Per Egil Hegge,https://ap.mnocdn.no/images/f03b4a6b-921b-407f-9e6b-d937abefbc9b?fit=crop&q=80&w=480,[meninger],"[overgrep, språk, høyesterett, barn, barneekteskap]"
0d1n0,Savnet kvinne trolig funnet død i Østfold,,[norge],[]
0d260,Duterte truer med å kaste korrupte ut av helikopter,https://ap.mnocdn.no/images/553ea169-57f7-49b0-aaa3-cf3860aa6600?fit=crop&q=80&w=480,[verden],[filippinene]
0d2GM,– Oslo får perfekt rakettvær,,[osloby],[fyrverkeri]
0d2KA,To kvinner etterlyst etter boligbrann i Porsgrunn,https://ap.mnocdn.no/images/0fa3863e-f686-4e9c-9428-47426dc62e2b?fit=crop&q=80&w=480,[norge],[porsgrunn]
0d2lg,Debbie Reynolds døde mens hun sørget over datterens bortgang,https://ap.mnocdn.no/images/7a4055e0-4fde-4262-95c3-1309a7ff5370?fit=crop&q=80&w=480,[kultur],[film]
0d7Pg,Knesset til knes i protest om skjørtelengde,https://ap.mnocdn.no/images/5048bd98-fbed-4ab0-8515-0a231e9e77e2?fit=crop&q=80&w=480,[verden],"[jerusalem, israel, diskriminering]"
0d8G0,Politiet i Sveits etter moskéskyting: – Ikke noe som tyder på terror,https://ap.mnocdn.no/images/a7c4807e-a1e1-4c8e-99d3-c8bcc534060b?fit=crop&q=80&w=480,[verden],[]
0d8vo,Erna Solberg gjør minimalt ut av statsrådskiftene | Trine Eilertsen,https://ap.mnocdn.no/images/c9c9c6e9-87d3-409b-8e13-2f06963d4de2?fit=crop&q=80&w=480,"[meninger, kommentar]","[terje søviknes, regjeringen, knut arild hareide, erna solberg, frank bakke-jensen, trine skei grande]"
0dA56,Leteaksjon etter fem i fjellet på Voss,,[norge],[]
0dA8M,En person pågrepet etter skyting mot utested i Oslo fredag,https://ap.mnocdn.no/images/15393ab6-ae05-4aad-b77e-3cbea24adbb4?fit=crop&q=80&w=480,[osloby],"[restaurant, skyting, politiet]"
0dJ4A,Språket vårt: Importerte ord,https://ap.mnocdn.no/images/62cd265e-c762-4025-b888-ddcadfce5e44?fit=crop&q=80&w=480,[kultur],[språk]
0dJVM,Flere hundre fulgte Jakob (14) til graven,http://ap.mnocdn.no/images/4afaa9dc-05ef-400f-a6fe-9bec449128e1?fit=crop&q=80&w=480,[norge],"[drap, kristiansand]"
0dJkJ,Bahrain opprettholder dommen mot opposisjonsleder,,[verden],[]
0dJrE,Vil ikke svare på om hun er glad for Hagens comeback,https://ap.mnocdn.no/images/a6ddefaf-6965-4fa6-8c4d-d3882434b4f5?fit=crop&q=80&w=480,"[norge, politikk]","[fremskrittspartiet (frp), carl i. hagen, siv jensen, politikk]"
0dOWM,"Det mest skremmende funnet i PISA-rapporten handler ikke om matematikk, lesing eller naturfag | Helene Skjeggestad",https://ap.mnocdn.no/images/aad12e28-f7b5-4807-99ff-075b8c86d202?fit=crop&q=80&w=480,"[meninger, kommentar]","[skole og utdanning, skole, pisa, skolepolitikk]"
0dR3A,Tørrkokt pinnekjøtt førte til brannutrykning,https://ap.mnocdn.no/images/090c04a7-a107-427b-82c2-1c835038596e?fit=crop&q=80&w=480,[norge],[jul]
0dW22,Norges Bank vil at oljepengene skal leve farligere,https://ap.mnocdn.no/images/8ba63312-5dad-44b1-932f-a329d3b9c001?fit=crop&q=80&w=480,[okonomi],"[norges bank, finansdepartementet, økonomi]"
0dW8E,Kronikk: Det haster for norske medier nå | Thor Gjermund Eriksen,http://ap.mnocdn.no/images/8de2a03a-90bc-4f77-a156-7529389a336b?fit=crop&q=80&w=480,"[meninger, debatt]","[netflix, mediepolitikk, hbo, nrk]"
0dWOM,Her bygges palestinernes drømmesamfunn. Men konflikter er i ferd med å gjøre det om til en spøkelsesby.,https://ap.mnocdn.no/images/02c41c04-282d-4e16-8d5f-4e4a127890b7?fit=crop&q=80&w=480,[verden],[]
0dWXg,Dagens quiz,https://ap.mnocdn.no/images/42f5a218-6dec-4088-8914-8207f587bbdb?fit=crop&q=80&w=480,[kultur],[quiz]
0dWx6,"Han har israelske foreldre, oppvokst i Norge: «Er det ikke sånn at jødene styrer Coca-Cola?»",https://ap.mnocdn.no/images/e8cc4280-1ad4-4339-83f6-6d35a1110d9a?fit=crop&q=80&w=480,"[meninger, sid]","[ungdom, israel]"
0daQg,Nekrolog: Anne Borg,,[personalia],[nekrolog]
0daw6,Rasende reaksjoner fra Israel etter historisk vedtak i FNs sikkerhetsråd,https://ap.mnocdn.no/images/7354895d-a591-4234-b3ac-3e8c45f6d811?fit=crop&q=80&w=480,[verden],"[fns sikkerhetsråd, israel, usa]"
0dbQ2,Politiet frykter opptil 40 døde etter brann i festlokale,http://ap.mnocdn.no/images/dc7d1181-6822-4424-b2cc-b2273426a22b?fit=crop&q=80&w=480,[verden],"[san francisco, brann]"
0ddmG,Kjendis + nød gir presseoppslag. Bare synd det som oftest er kjendisen som får mest oppmerksomhet | Anne Håskoll-Haugen,https://ap.mnocdn.no/images/e712d087-bb67-4e6d-8449-16ffb6a27938?fit=crop&q=80&w=480,"[meninger, debatt]","[bistand, fattigdom]"
0ddpJ,Anundsen forlater Regjeringen med ny kritikk i bagasjen,https://ap.mnocdn.no/images/eaa85655-c3a6-4087-9f75-ec8f70a074ef?fit=crop&q=80&w=480,"[norge, politikk]","[anders anundsen, erna solberg, politikk]"
