,genderLabel,ageLabel,numEventsTotal
10,0.0,35.0940860217,532.0
16,1.0,31.8870967742,1503.0
20,0.0,27.7473118283,553.0
21,1.0,54.5833333333,1015.0
30,1.0,37.8064516125,2079.0
36,1.0,38.4032258067,1230.0
49,1.0,63.9892473117,1061.0
52,0.0,42.2311827958,1883.0
79,1.0,40.9354838708,1790.0
81,0.0,26.9516129033,769.0
85,1.0,37.9946236558,708.0
97,1.0,49.9650537633,503.0
116,1.0,54.086021505,1442.0
136,0.0,54.5887096775,1087.0
137,0.0,48.427419355,672.0
153,1.0,54.336021505,1868.0
167,0.0,38.8413978492,2055.0
169,0.0,48.6102150542,789.0
172,1.0,54.5403225808,626.0
181,1.0,67.5913978492,3130.0
194,0.0,36.8440860217,1000.0
221,0.0,56.440860215,618.0
230,0.0,66.5349462367,975.0
234,0.0,47.7688172042,1279.0
249,0.0,60.26344086,1134.0
251,0.0,68.3709677417,671.0
253,0.0,62.2526881717,545.0
264,0.0,39.2715053767,655.0
268,0.0,63.6827956992,764.0
273,1.0,48.5026881717,2244.0
281,0.0,60.7096774192,776.0
284,0.0,43.9946236558,615.0
291,0.0,50.4838709675,1733.0
292,0.0,26.190860215,538.0
295,0.0,61.913978495,608.0
306,1.0,31.954301075,718.0
313,0.0,61.6666666667,1187.0
322,1.0,48.60483871,642.0
336,1.0,70.6209677417,2305.0
348,1.0,34.9973118283,1499.0
353,0.0,72.4758064517,668.0
378,0.0,21.2768817208,1066.0
392,0.0,52.3978494625,2219.0
408,1.0,50.3467741933,601.0
420,0.0,63.0698924733,1916.0
429,0.0,50.9462365592,1341.0
433,0.0,47.8387096775,1508.0
434,0.0,47.4381720433,1372.0
441,1.0,44.0053763442,653.0
450,0.0,41.8037634408,826.0
463,0.0,43.64516129,625.0
466,0.0,72.8521505375,1504.0
469,0.0,51.6424731183,873.0
479,1.0,27.7526881717,646.0
484,1.0,47.3467741933,1722.0
502,0.0,51.3467741933,811.0
503,0.0,36.8655913975,1172.0
509,0.0,50.8198924733,983.0
536,1.0,42.7876344083,1269.0
549,0.0,20.1370967742,1712.0
551,0.0,43.75,669.0
558,0.0,57.8575268817,1420.0
561,1.0,42.4247311825,805.0
563,0.0,59.6586021508,685.0
605,0.0,70.3763440858,545.0
610,1.0,59.01344086,526.0
618,0.0,35.045698925,596.0
621,1.0,63.5349462367,6868.0
646,1.0,51.454301075,595.0
664,0.0,43.7392473117,1301.0
672,1.0,56.9112903225,1252.0
673,1.0,63.1935483875,839.0
678,0.0,62.454301075,599.0
680,0.0,66.1854838708,1023.0
684,1.0,34.2392473117,643.0
685,1.0,36.6854838708,1266.0
693,0.0,50.4650537633,1564.0
694,1.0,46.7607526883,1909.0
706,0.0,29.7284946233,913.0
711,0.0,58.85483871,2195.0
714,0.0,46.2338709675,861.0
725,1.0,44.3655913975,2880.0
726,0.0,47.7715053767,658.0
745,1.0,38.9059139783,1260.0
751,0.0,62.4193548383,556.0
757,1.0,50.0376344083,595.0
761,0.0,67.3978494625,1553.0
764,1.0,30.6021505375,874.0
766,1.0,63.1827956992,1916.0
772,0.0,49.1021505375,1490.0
775,0.0,41.2715053767,604.0
776,1.0,30.3413978492,692.0
778,1.0,70.7016129033,843.0
783,1.0,46.6666666667,1366.0
786,0.0,31.1532258067,901.0
791,1.0,53.6155913975,748.0
796,1.0,33.8172043008,749.0
808,1.0,35.13172043,511.0
809,0.0,47.7526881717,2042.0
814,1.0,38.6935483875,1209.0
815,1.0,74.6075268817,518.0
820,1.0,45.3763440858,1243.0
833,0.0,61.5107526883,3332.0
846,0.0,62.8602150542,4470.0
873,0.0,37.5752688175,654.0
877,0.0,73.6720430108,529.0
881,1.0,38.3145161292,803.0
895,0.0,32.2553763442,1030.0
903,0.0,57.6827956992,775.0
907,0.0,38.9086021508,809.0
912,1.0,33.7930107525,749.0
919,0.0,58.2392473117,1286.0
924,1.0,32.7473118283,574.0
937,1.0,47.6935483875,730.0
940,0.0,50.5940860217,653.0
942,1.0,47.2741935483,1308.0
945,1.0,67.4838709675,1836.0
948,1.0,35.7338709675,1471.0
968,1.0,51.5,508.0
971,0.0,50.6155913975,1079.0
977,0.0,56.9811827958,1078.0
980,1.0,30.6263440858,749.0
981,0.0,41.7580645158,561.0
991,0.0,65.23655914,650.0
995,0.0,32.5241935483,509.0
999,1.0,49.940860215,554.0
1000,0.0,42.5403225808,997.0
1023,0.0,53.8145161292,505.0
1026,1.0,38.5806451617,1831.0
1039,0.0,29.1747311825,726.0
1049,0.0,45.5053763442,772.0
1091,0.0,61.7849462367,1414.0
1092,1.0,53.6102150542,672.0
1096,0.0,47.1586021508,1439.0
1101,0.0,37.6424731183,1598.0
1106,1.0,34.309139785,1477.0
1110,1.0,61.190860215,640.0
1113,0.0,42.3924731183,687.0
1125,1.0,48.3010752692,847.0
1138,0.0,50.2715053767,636.0
1153,0.0,38.7768817208,714.0
1175,0.0,39.4704301075,1021.0
1179,0.0,52.7069892475,2031.0
1184,0.0,70.23655914,1090.0
1187,1.0,69.6532258067,1371.0
1213,1.0,46.8763440858,1160.0
1214,0.0,46.8521505375,930.0
1226,1.0,58.1801075267,1141.0
1237,0.0,40.3333333333,648.0
1241,0.0,57.4489247308,1372.0
1261,0.0,59.0,771.0
1270,0.0,58.7741935483,1436.0
1280,1.0,44.2580645158,504.0
1282,0.0,46.5779569892,1242.0
1287,0.0,53.2822580642,1649.0
1289,1.0,41.2284946233,804.0
1290,0.0,41.7177419358,827.0
