article_id	categorie	pub_date
23573888	Nyheter	2017-01-18 18:30:05
23605647	Sport	2017-01-18 17:43:42
23830763	Sport	2017-01-11 09:53:19
23847218	VG Helg	2016-12-15 10:18:35
23849757	VG Helg	2016-12-02 15:35:09
23850875	VG Helg	2016-12-03 19:05:04
23852511	VG Helg	2016-12-01 09:08:46
23852608	Sport	2016-12-03 18:15:50
23852616	Nyttig	2016-12-16 13:12:13
23853368	VG Helg	2016-12-14 12:34:13
23853410	VG Helg	2016-12-04 18:17:15
23854230	Nyheter	2016-12-01 16:21:56
23854237	Reportasje	2016-12-01 10:43:19
23854277	Reportasje	2016-12-02 11:22:17
23854557	Nyheter	2016-12-07 09:57:59
23854951	Nyttig	2016-12-06 13:30:51
23855332	Rampelys	2017-01-01 19:16:55
23855342	Nyheter	2016-12-01 15:13:04
23855552	Rampelys	2016-12-01 09:44:00
23856272	VG Helg	2016-12-05 18:27:54
23856506	Nyheter	2016-12-04 17:07:23
23856570	Rampelys	2016-12-14 14:31:58
23856711	VG Helg	2016-12-08 10:11:53
23856914	Nyheter	2016-12-07 10:24:04
23858043	Sport	2016-12-01 10:59:21
23858272	Reportasje	2016-12-04 23:54:53
23858364	Økonomi	2016-12-02 12:01:43
23858417	Meninger	2016-12-08 19:33:00
23858564	VG Helg	2016-12-10 00:12:49
23858754	Økonomi	2016-12-15 11:55:15
23861072	Nyheter	2016-12-01 00:21:17
23861102	Sport	2016-12-01 00:56:27
23861183	Kaffepausen	2016-12-01 09:16:51
23861242	Rampelys	2016-12-01 09:51:16
23861256	Rampelys	2016-12-01 10:04:33
23861259	VG Helg	2016-12-09 12:32:56
23861265	Rampelys	2016-12-01 10:08:26
23861272	Rampelys	2016-12-01 10:14:41
23861277	Rampelys	2016-12-01 10:40:12
23861286	Kaffepausen	2016-12-01 10:52:46
23861287	Historisk	2016-12-13 10:32:50
23861314	Rampelys	2016-12-05 11:21:15
23861319	Kaffepausen	2016-12-01 11:19:48
23861358	Rampelys	2016-12-01 11:24:40
23861365	Mat og drikke	2016-12-01 11:58:23
23861382	Nyttig	2016-12-04 20:14:55
23861401	Mat og drikke	2016-12-01 13:30:04
23861414	Nyheter	2016-12-01 20:05:30
23861427	Rampelys	2016-12-01 13:25:13
23861432	VG Helg	2016-12-07 09:32:38
23861434	Rampelys	2016-12-01 13:38:51
23861456	Rampelys	2016-12-01 13:51:48
23861509	Meninger	2016-12-01 14:30:47
23861525	Nyttig	2016-12-05 09:57:36
23861583	VG Helg	2016-12-16 11:03:58
23861729	Sport	2016-12-01 18:14:10
23861736	Meninger	2016-12-01 18:04:58
23861746	Meninger	2016-12-01 18:11:15
23861750	Økonomi	2016-12-01 18:15:24
23861760	Nyheter	2016-12-01 18:47:47
23861787	Nyheter	2016-12-01 19:06:51
23861790	Nyheter	2016-12-01 19:16:56
23861831	Rampelys	2016-12-01 20:25:26
23861849	VG Helg	2016-12-19 14:22:41
23861890	Sport	2016-12-01 21:34:45
23861901	Sport	2016-12-01 21:39:08
23861905	Nyheter	2016-12-01 22:16:31
23861909	Sport	2016-12-01 21:49:18
23861914	Sport	2016-12-01 22:07:41
23861916	Sport	2016-12-01 21:54:36
23861929	Sport	2016-12-01 22:01:07
23861978	Nyheter	2016-12-01 22:15:25
23862002	Meninger	2016-12-01 22:36:01
23862061	Nyheter	2016-12-01 23:35:05
23862129	Rampelys	2016-12-03 21:21:07
23862135	VG Helg	2016-12-19 11:08:45
23862139	VG Helg	2016-12-16 09:18:52
23862159	Nyttig	2016-12-02 11:29:37
23862182	Reise	2016-12-02 11:57:01
23862278	Reise	2016-12-02 10:44:31
23862296	Nyheter	2016-12-02 10:57:57
23862389	Reportasje	2016-12-08 19:21:10
23862468	VG Helg	2016-12-15 10:31:49
23862488	Sport	2016-12-02 13:54:41
23862493	Nyheter	2016-12-09 11:16:26
23862507	Rampelys	2016-12-02 14:00:11
23862638	Meninger	2016-12-02 15:05:27
23862683	Nyheter	2016-12-02 15:27:58
23862685	Økonomi	2016-12-05 17:32:14
23862747	Nyheter	2016-12-02 15:58:25
23862776	Sport	2016-12-27 13:30:12
23862850	Nyheter	2016-12-02 18:15:55
23862877	Nyheter	2016-12-02 21:52:06
23862878	Nyheter	2016-12-02 19:30:06
23862879	Rampelys	2016-12-02 19:07:52
23862886	Nyheter	2016-12-02 19:14:19
23862897	Sport	2016-12-02 19:25:01
23862913	Sport	2016-12-02 19:35:30
23862926	Sport	2016-12-02 19:47:14
23862935	Sport	2016-12-02 19:52:14
23862946	Nyheter	2016-12-02 20:00:10
23862978	Sport	2016-12-02 20:39:54
23863025	Meninger	2016-12-02 21:38:03
23863029	Meninger	2016-12-02 21:44:36
23863036	Meninger	2016-12-02 21:46:26
23863038	Nyheter	2016-12-02 21:49:58
23863042	Sport	2016-12-02 22:04:01
23863048	Sport	2016-12-02 22:17:15
23863081	Nyheter	2016-12-02 22:53:01
23863085	Nyheter	2016-12-02 23:10:38
23863095	Sport	2016-12-02 23:17:25
23863144	Reportasje	2016-12-11 16:55:49
23863158	Økonomi	2016-12-08 19:02:34
23863293	Nyheter	2016-12-03 23:14:41
23863338	Meninger	2016-12-03 18:36:23
23863348	Nyheter	2016-12-03 18:53:47
23863354	Nyttig	2016-12-03 19:14:40
23863358	Nyttig	2016-12-03 19:37:07
23863378	Meninger	2016-12-03 19:36:40
23863383	Meninger	2016-12-03 20:00:22
23863393	Meninger	2016-12-03 20:12:08
23863396	Nyheter	2016-12-03 21:12:15
23863446	Sport	2016-12-03 21:17:22
23863454	Sport	2016-12-03 21:24:00
23863455	Nyheter	2016-12-03 21:28:22
23863458	Sport	2016-12-03 21:27:34
23863466	Nyheter	2016-12-03 21:37:55
23863473	Rampelys	2016-12-03 21:48:45
23863479	Sport	2016-12-03 21:50:55
23863490	Nyheter	2016-12-03 22:03:05
23863523	Sport	2016-12-03 22:29:47
23863532	Sport	2016-12-03 22:37:19
23863533	Nyheter	2016-12-03 22:54:47
23863538	Nyheter	2016-12-03 22:53:19
